Cell_ID,Area,Perimeter,Circularity
1,568.0,101.04772721475248,0.6990449461837495
2,244.0,87.17766952966369,0.40344949869794067
3,574.0,99.01219330881975,0.7357739274097969
4,697.0,110.81118318204308,0.7133053116055665
5,1517.0,150.61017305526642,0.8404015209781421
6,791.0,107.25483399593904,0.8640773028455756
7,1624.0,150.22539674441617,0.904293001189152
8,1087.0,121.15432893255071,0.9305967581687637
9,1956.0,166.0243866176395,0.8917332196552888
10,187.0,54.04163056034261,0.8046269638803218
11,1613.0,161.19595949289334,0.7800742246165013
12,1794.0,173.50966799187808,0.7488329487827683
13,1002.0,117.49747468305833,0.9120539326540343
14,737.0,104.32590180780451,0.850928474971331
15,1814.0,164.2670273047588,0.8447853054156172
16,565.0,103.25483399593904,0.6659437176139809
17,1416.0,146.36753236814712,0.8305841041525526
18,1349.0,139.19595949289334,0.8749204259617251
19,959.0,114.08326112068522,0.9259437760530864
20,921.0,114.32590180780451,0.8854829894819886
21,796.0,128.71067811865476,0.6038009262737237
22,1349.0,141.25483399593904,0.8496013141872709
23,1203.0,132.22539674441617,0.8646607270952575
24,1604.0,150.71067811865476,0.8874138041497296
25,972.0,118.22539674441617,0.873885571196262
26,912.0,111.49747468305833,0.9218805242373163
27,476.0,89.84062043356595,0.7410906462251132
28,1477.0,149.78174593052023,0.8273182070164377
29,1249.0,133.63961030678928,0.8788239850488399
30,1635.0,153.29646455628165,0.8743057672363509
31,1485.0,154.46803743153546,0.7820941910839664
32,1464.0,158.12489168102786,0.7357842017204248
33,116.0,45.89949493661167,0.6919138752667723
34,732.0,107.25483399593904,0.799626530572644
35,1311.0,137.29646455628165,0.873964611336995
36,704.0,107.74011537017762,0.7621275315832361
37,1001.0,116.08326112068524,0.9334794057735291
38,1732.0,170.0243866176395,0.752896569275424
39,1240.0,134.12489168102786,0.8661892323895362
40,937.0,116.18376618407356,0.8722853010562411
41,892.0,119.84062043356595,0.7804887021098723
42,1164.0,135.1543289325507,0.8007610185395773
43,1554.0,145.78174593052023,0.9188710823573534
44,610.0,146.8700576850888,0.35536378599556456
45,1832.0,167.09545442950497,0.8245292406813738
46,1343.0,141.53910524340094,0.8424283721407465
47,1807.0,168.02438661763952,0.804309835056125
48,1253.0,154.95331880577402,0.6557815141172827
49,1173.0,132.95331880577405,0.8338914301656962
50,567.0,98.5685424949238,0.7333583703915283
51,447.0,87.35533905932738,0.7361028169651687
52,1129.0,128.22539674441617,0.8628905304078985
53,1598.0,154.36753236814712,0.8427033402354841
54,1422.0,144.12489168102786,0.8602634523372599
55,1077.0,121.1543289325507,0.9220356104395204
56,1497.0,148.12489168102786,0.8573843911438435
57,1579.0,172.95331880577402,0.6633369564497089
58,389.0,82.04163056034263,0.7262579488616485
59,250.0,65.21320343559643,0.7387182084815853
